Year,Player,Country,Matches,Innings,Not_out,50s,100s,0s,Highest_score,Runs,Strike_rate,Average,Catches,Stumping
1975,"Nana, P G",East Africa,3,3,2,0,0,1,8,9,20.0,9.0,2,0
1975,Pervez Mir,Pakistan,2,2,1,0,0,0,4,8,50.0,8.0,1,0
1975,"Greig, A W",England,4,4,0,0,0,0,9,29,42.03,7.25,0,0
1975,"Bedi, B S",India,2,1,0,0,0,0,6,6,60.0,6.0,0,0
1975,Asif Masood,Pakistan,3,1,0,0,0,0,6,6,85.71,6.0,0,0
1975,"Opatha, A R M",Sri Lanka,3,2,0,0,0,1,11,11,39.29,5.5,3,0
1975,"Lever, P",England,4,1,0,0,0,0,5,5,38.46,5.0,1,0
1975,Imran Khan,Pakistan,2,2,0,0,0,1,9,9,42.86,4.5,0,0
1975,"Collinge, R O",New Zealand,4,2,0,0,0,0,6,8,80.0,4.0,1,0
1975,"Sumar, S",East Africa,1,1,0,0,0,0,4,4,36.36,4.0,0,0
1975,Wasim Bari,Pakistan,3,2,1,0,0,0,2,3,15.79,3.0,6,0
1975,"Pringle, D J",East Africa,2,2,0,0,0,0,3,5,33.33,2.5,0,0
1975,"McLeod, H",East Africa,2,2,0,0,0,1,5,5,50.0,2.5,0,0
1975,Harilal Shah,East Africa,3,3,0,0,0,2,6,6,10.71,2.0,0,0
1975,"Snow, J A",England,3,1,0,0,0,0,2,2,14.29,2.0,0,0
1975,"Heyn, P D",Sri Lanka,2,2,0,0,0,0,2,3,12.5,1.5,1,0
1975,"Amarnath, M",India,3,1,0,0,0,0,1,1,33.33,1.0,0,0
1975,"Howarth, H J",New Zealand,4,2,1,0,0,1,1,1,12.5,1.0,2,0
1975,Yunus Badat,East Africa,2,2,0,0,0,1,1,1,14.29,0.5,0,0
1975,"de Silva, G R A",Sri Lanka,1,1,0,0,0,1,0,0,0.0,0.0,0,0
1975,Sarfraz Nawaz,Pakistan,2,2,1,0,0,1,0,0,0.0,0.0,1,0
1975,"Mallett, A A",Australia,3,1,0,0,0,1,0,0,0.0,0.0,1,0
1975,"Kaluperuma, L W",Sri Lanka,3,2,2,0,0,0,13,19,38.0,0.0,0,0
1975,"Roberts, A M E",West Indies,5,1,1,0,0,0,24,24,50.0,0.0,0,0
1975,"Underwood, D L",England,2,0,0,0,0,0,0,0,0.0,0.0,2,0
1975,"Venkataraghavan, S",India,3,1,1,0,0,0,26,26,44.83,0.0,1,0
1975,"Arnold, G G",England,3,1,1,0,0,0,18,18,60.0,0.0,1,0
1975,"Ghavri, K D",India,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1975,"Gibbs, L R",West Indies,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1975,"Wettimuny, S R D",Sri Lanka,1,1,1,1,0,0,53,53,51.96,0.0,0,0
1975,Naseer Malik,Pakistan,3,1,1,0,0,0,0,0,0.0,0.0,0,0
1975,"Nagenda, J",East Africa,1,0,0,0,0,0,0,0,0.0,0.0,0,0
1979,"Turner, G M",New Zealand,4,4,2,1,0,0,83,176,56.05,88.0,2,0
1979,"Greenidge, C G",West Indies,4,4,1,2,1,0,106,253,62.32,84.33,0,0
1979,"Howarth, G P",New Zealand,2,2,1,1,0,0,63,70,80.46,70.0,1,0
1979,"Lloyd, C H",West Indies,4,3,1,1,0,0,73,123,81.46,61.5,3,0
1979,"Tennekoon, A P B",Sri Lanka,1,1,0,1,0,0,59,59,61.46,59.0,1,0
1979,"Edgar, B A",New Zealand,3,3,1,1,0,0,84,113,49.56,56.5,1,0
1979,"Gooch, G A",England,5,5,1,2,0,0,71,210,63.83,52.5,0,0
1979,"Hilditch, A M J",Australia,3,3,0,1,0,0,72,143,53.56,47.67,1,0
1979,"King, C L",West Indies,4,3,0,1,0,0,86,132,121.1,44.0,2,0
1979,Asif Iqbal,Pakistan,4,3,0,2,0,0,61,129,71.27,43.0,4,0
1979,Imran Khan,Pakistan,4,3,2,0,0,0,21,42,44.21,42.0,0,0
1979,"Wettimuny, S R D",Sri Lanka,2,2,0,1,0,0,67,83,59.29,41.5,0,0
1979,"Wright, J G",New Zealand,4,4,0,1,0,0,69,166,50.0,41.5,1,0
1979,"Mendis, L R D",Sri Lanka,2,2,0,1,0,0,64,78,92.86,39.0,0,0
1979,Majid Khan,Pakistan,4,4,0,2,0,0,81,150,60.73,37.5,1,0
1979,"Dias, R L",Sri Lanka,2,2,0,1,0,0,50,75,55.97,37.5,2,0
1979,Zaheer Abbas,Pakistan,4,4,0,1,0,0,93,148,66.07,37.0,2,0
1979,"Haynes, D L",West Indies,4,4,0,1,0,0,65,144,55.17,36.0,2,0
1979,"Viswanath, G R",India,3,3,0,1,0,0,75,106,51.46,35.33,0,0
1979,Sadiq Mohammad,Pakistan,4,4,1,1,0,0,57,104,45.41,34.67,3,0
1979,"Brearley, J M",England,5,5,0,2,0,2,64,161,39.85,32.2,4,0
1979,"Yallop, G N",Australia,3,3,1,0,0,0,37,60,57.69,30.0,0,0
1979,"Gavaskar, S M",India,3,3,0,1,0,0,55,89,43.41,29.67,0,0
1979,"Hadlee, R J",New Zealand,4,2,0,0,0,0,42,57,71.25,28.5,0,0
1979,"Willis, R G D",England,4,2,1,0,0,0,24,25,64.1,25.0,0,0
1979,"Sealy, G R",Canada,3,3,0,0,0,0,45,73,48.99,24.33,0,0
1979,"Pasqual, S P",Sri Lanka,2,2,1,0,0,0,23,24,85.71,24.0,0,0
1979,"Hughes, K J",Australia,3,3,1,0,0,0,27,48,53.33,24.0,1,0
1979,"Coney, J V",New Zealand,4,2,0,0,0,0,36,47,50.54,23.5,3,0
1979,"Boycott, G",England,5,5,1,1,0,0,57,92,42.99,23.0,0,0
1979,"Venkataraghavan, S",India,3,3,2,0,0,0,13,23,56.1,23.0,0,0
1979,Haroon Rashid,Pakistan,4,4,1,0,0,0,37,69,51.11,23.0,0,0
1979,"Burgess, M G",New Zealand,4,2,0,0,0,0,35,45,72.58,22.5,2,0
1979,"Botham, I T",England,5,4,1,0,0,0,22,65,68.42,21.67,2,0
1979,"Patel, B P",India,3,3,0,0,0,0,38,63,59.43,21.0,0,0
1979,"Border, A R",Australia,3,3,0,0,0,1,34,59,44.7,19.67,1,0
1979,Wasim Raja,Pakistan,2,2,0,0,0,0,21,39,105.41,19.5,1,0
1979,"Warnapura, B",Sri Lanka,2,2,0,0,0,0,20,38,34.86,19.0,2,0
1979,"Kallicharran, A I",West Indies,4,3,0,0,0,0,39,54,54.55,18.0,4,0
1979,"Gaekwad, A D",India,3,3,0,0,0,0,33,54,47.79,18.0,1,0
1979,"Opatha, A R M",Sri Lanka,2,1,0,0,0,0,18,18,66.67,18.0,0,0
1979,Kapil Dev,India,3,3,0,0,0,0,25,53,96.36,17.67,0,0
1979,"Darling, W M",Australia,3,3,0,0,0,0,25,51,50.0,17.0,0,0
1979,"Gower, D I",England,5,4,1,0,0,1,27,50,66.67,16.67,1,0
1979,"Taylor, R W",England,5,3,1,0,0,1,20,32,37.65,16.0,4,0
1979,"Randall, D W",England,5,5,1,0,0,0,42,64,70.33,16.0,1,0
1979,"Dennis, F A",Canada,3,3,0,0,0,0,25,47,27.49,15.67,0,0
1979,Javed Miandad,Pakistan,4,3,0,0,0,2,46,46,90.2,15.33,0,0
1979,"Vengsarkar, D B",India,3,3,0,0,0,0,36,44,66.67,14.67,1,0
1979,"Wright, K J",Australia,3,2,0,0,0,0,23,29,55.77,14.5,5,0
1979,"Lees, W K",New Zealand,4,2,0,0,0,0,23,28,112.0,14.0,6,0
1979,"Dymock, G",Australia,3,2,1,0,0,0,10,14,46.67,14.0,0,0
1979,Wasim Bari,Pakistan,4,2,0,0,0,0,17,26,57.78,13.0,6,1
1979,"Chappell, C J D",Canada,3,3,0,0,0,0,19,38,26.57,12.67,0,0
1979,Sarfraz Nawaz,Pakistan,2,1,0,0,0,0,12,12,80.0,12.0,0,0
1979,"Ghavri, K D",India,3,3,0,0,0,0,20,35,62.5,11.67,0,0
1979,"Morrison, J F M",New Zealand,2,1,0,0,0,0,11,11,26.83,11.0,1,0
1979,"Garner, J",West Indies,4,3,2,0,0,1,9,10,33.33,10.0,1,0
1979,"De Silva, D L S",Sri Lanka,2,1,0,0,0,0,10,10,28.57,10.0,1,0
1979,"Vaughan, J C B",Canada,3,3,0,0,0,1,29,30,54.55,10.0,0,0
1979,"Bedi, B S",India,3,3,1,0,0,0,13,19,44.19,9.5,0,0
1979,"Murray, D L",West Indies,4,2,0,0,0,0,12,17,56.67,8.5,7,0
1979,"Laughlin, T J",Australia,1,1,0,0,0,0,8,8,36.36,8.0,0,0
1979,"Moss, J K",Australia,1,1,0,0,0,0,7,7,43.75,7.0,2,0
1979,"De Silva, D S",Sri Lanka,2,2,1,0,0,0,6,7,25.0,7.0,0,0
1979,"Edmonds, P H",England,3,2,1,0,0,0,5,7,22.58,7.0,0,0
1979,"Mauricette, B M",Canada,3,3,0,0,0,1,15,20,29.41,6.67,0,0
1979,"Henry, C C",Canada,2,2,1,0,0,0,5,6,42.86,6.0,0,0
1979,"Khanna, S C",India,3,3,0,0,0,1,10,17,37.78,5.67,1,0
1979,"Cairns, B L",New Zealand,4,3,0,0,0,0,14,17,130.77,5.67,1,0
1979,"Amarnath, M",India,3,3,0,0,0,0,8,16,45.71,5.33,2,0
1979,"Marshall, C A",Canada,2,2,0,0,0,0,8,10,24.39,5.0,0,0
1979,Tariq Javed,Canada,3,3,0,0,0,0,8,15,19.48,5.0,0,0
1979,"Stead, M P",Canada,2,2,0,0,0,1,10,10,22.22,5.0,0,0
1979,"Madugalle, R S",Sri Lanka,1,1,0,0,0,0,4,4,25.0,4.0,0,0
1979,"Roberts, A M E",West Indies,4,3,1,0,0,1,7,8,57.14,4.0,0,0
1979,"Larkins, W",England,2,2,0,0,0,1,7,7,18.42,3.5,0,0
1979,Sikander Bakht,Pakistan,4,2,1,0,0,0,2,3,13.04,3.0,1,0
1979,"Cosier, G J",Australia,3,2,0,0,0,1,6,6,28.57,3.0,1,0
1979,"Porter, G D",Australia,2,1,0,0,0,0,3,3,33.33,3.0,1,0
1979,Mudassar Nazar,Pakistan,4,3,1,0,0,1,2,3,25.0,1.5,1,0
1979,"Hendrick, M",England,5,2,1,0,0,1,1,1,16.67,1.0,3,0
1979,"Jayasinghe, S A",Sri Lanka,2,1,0,0,0,0,1,1,33.33,1.0,1,0
1979,"Patel, J M",Canada,3,3,0,0,0,1,2,3,13.04,1.0,0,0
1979,"Old, C M",England,5,3,0,0,0,2,2,2,18.18,0.67,1,0
1979,"Hogg, R M",Australia,2,1,0,0,0,1,0,0,0.0,0.0,0,0
1979,"Holding, M A",West Indies,4,1,0,0,0,1,0,0,0.0,0.0,2,0
1979,"Baksh, S",Canada,1,1,0,0,0,1,0,0,0.0,0.0,0,0
